gene,variance
S100A10,0.8003798260315292
PCOLCE,0.7995104725638306
TGFBI,0.7988899729982516
MT2A,0.7969653258117112
SPRR1A,0.793692987579538
HSPB1,0.7928408428854132
S100A16,0.7913417585827898
FSCN1,0.7895769986286272
SDC1,0.7893419967842203
GJA1,0.7881117002865606
SPRR2F,0.7845594614060232
SFRP2,0.7813208855827295
MYL9,0.7806479700827399
BGN,0.7783172863442814
TXNDC17,0.7743051049697074
CFD,0.7731755288434734
LOR,0.7723363283293065
NPM1,0.771654281090398
COL18A1,0.7710925800926585
LAPTM5,0.77012099120492
S100A11,0.7690416091037757
SPRR2B,0.7630176992788787
CALM1,0.7629257730100364
CTSK,0.7607751063837573
COL7A1,0.7605772783510893
CD14,0.7604695503894809
ANXA8L1,0.7582391028223332
SSR4,0.757470196268219
ANXA8,0.7552577957117212
TUBB2A,0.7546122792722917
KRT15,0.7541757106518837
CDH3,0.7537706907209807
HNRNPA2B1,0.7506430172637524
CTSB,0.748609884942395
CCL21,0.748453110936921
FLNA,0.7462151114078158
TUBB,0.7440817065259469
PRDX1,0.7431350046945264
COL5A2,0.7385324590285051
RAN,0.737306454565879
IFI27,0.7361309632053336
PTRF,0.7358040706534266
PTMA,0.7356936290331298
DIO2,0.7335217920176879
ATP5B,0.7330323391029521
EIF5A,0.7330236562681891
ATP1A1,0.7324630632904644
ITGA6,0.7314931423425758
NECTIN1,0.7314705699100402
DYNLL1,0.7313357245330514
RPL29,0.7306787546075951
PLA2G2A,0.7305627375533637
SPINT2,0.7305056396587601
POLR2L,0.7295943679275871
NDRG1,0.7284581981329568
SUB1,0.7284329172594017
NACA,0.7269672502541069
GAPDH,0.7202657221228151
TP63,0.7194642919408645
CTSD,0.7189384281325196
HLA.C,0.7180896893714166
TYMP,0.7147390112311351
TAPBP,0.7109207868997091
DST,0.7108300695220777
IFITM3,0.708785656987774
IFI6,0.7074395954555838
UQCRH,0.7065031081643662
ODC1,0.7060134225957008
CXCL12,0.7058729106130611
SERBP1,0.7056629275607961
RTN4,0.7052206906035892
RPL22,0.7031020620325628
ACTN1,0.7029589596479748
H3F3B,0.7004112139326609
HLA.E,0.7001342810687224
COL5A1,0.6992615774419294
SOD3,0.6982066696940458
TPM4,0.6980977559994967
MYL12B,0.6964700675030936
HSPA8,0.6963797141565282
PGK1,0.6943380696230055
HOPX,0.6931628887847908
THBS2,0.6929959777170203
RPL36A,0.692669795690003
SEC61G,0.6912329022056037
C10orf99,0.6906427353107418
KRT75,0.6902531716501473
LCE3D,0.6885373269422045
PFDN5,0.6883812402523082
H3F3A,0.6883522588043639
PKP3,0.6880596381211147
PKM,0.6864316222964587
TIMP2,0.6857962710317117
TAGLN2,0.6857077744885718
EIF4G2,0.6855502962164891
RPS15A,0.6839649855538077
DSTN,0.6823865955450326
ALDOA,0.6812274136636566
COX4I1,0.6801637539916767
ARPC2,0.6796128008726676
HLA.A,0.6792379888031242
YWHAZ,0.678387559354196
RPN2,0.6781698213775534
VWF,0.678067335838431
AHNAK,0.6770401699159135
ITM2B,0.6767027994359508
DBI,0.6756209800581969
HSPG2,0.6746083514922413
CHCHD2,0.674268051660706
MMP9,0.6738660743810102
RPS3A,0.6719918129914353
SLC38A2,0.6717522315065102
PPDPF,0.6703063536755364
TUBA4A,0.6701192214062669
RPS9,0.6693013024849094
COL15A1,0.6691697723476887
RHCG,0.6688747124815285
OAZ1,0.6684262146170966
CD99,0.6680890833256626
HINT1,0.6674832438854367
CASP14,0.6665761961083803
CCL19,0.666375542505944
